variant,profile,mode,count,cycles_per_txn,accepted_per_cycle,min,mean,p50,p95,p99,max,throughput_txn_per_cycle
b1,10pct_Q8ENC_90pct_other,Q4_DEC,60047,9.6831,0.103272,9,160.816,161,223,245,294,0.031006
b1,20pct_Q8ENC_80pct_other,Q8_ENC,39784,11.2039,0.089254,31,200.052,201,259,282,327,0.017754
b1,20pct_Q8ENC_80pct_other,Q8_DEC,54177,11.2039,0.089254,31,185.078,186,246,267,315,0.024178
b1,20pct_Q8ENC_80pct_other,Q4_ENC,54418,11.2039,0.089254,20,197.297,199,257,278,327,0.024285
b1,20pct_Q8ENC_80pct_other,Q4_DEC,51621,11.2039,0.089254,25,185.171,187,246,267,321,0.023037
b1,25pct_Q8ENC_75pct_other,Q8_ENC,49842,11.8416,0.084448,53,210.176,211,270,291,359,0.021045
b1,25pct_Q8ENC_75pct_other,Q8_DEC,49939,11.8416,0.084448,33,195.053,196,255,277,343,0.021086
b1,25pct_Q8ENC_75pct_other,Q4_ENC,50070,11.8416,0.084448,20,207.332,209,267,288,330,0.021142
b1,25pct_Q8ENC_75pct_other,Q4_DEC,50149,11.8416,0.084448,41,195.564,197,255,277,324,0.021175
b1,40pct_Q8ENC_60pct_other,Q8_ENC,80336,13.9230,0.071824,25,243.107,245,298,317,362,0.028850
b1,40pct_Q8ENC_60pct_other,Q8_DEC,39940,13.9230,0.071824,32,228.561,230,284,303,344,0.014343
b1,40pct_Q8ENC_60pct_other,Q4_ENC,39862,13.9230,0.071824,44,240.479,242,295,314,359,0.014315
b1,40pct_Q8ENC_60pct_other,Q4_DEC,39862,13.9230,0.071824,30,228.547,230,285,303,348,0.014315
b1,60pct_Q8ENC_40pct_other,Q8_ENC,119938,16.3778,0.061058,18,282.051,284,327,342,374,0.036616
b1,60pct_Q8ENC_40pct_other,Q8_DEC,27990,16.3778,0.061058,9,267.982,270,314,330,362,0.008545
b1,60pct_Q8ENC_40pct_other,Q4_ENC,26058,16.3778,0.061058,41,279.246,282,324,340,372,0.007955
b1,60pct_Q8ENC_40pct_other,Q4_DEC,26014,16.3778,0.061058,10,268.242,270,314,330,359,0.007942
b1,100pct_Q8_ENC,Q8_ENC,200000,20.7082,0.048290,25,351.030,347,373,375,387,0.048290
