variant,profile,mode,count,cycles_per_txn,accepted_per_cycle,min,mean,p50,p95,p99,max,throughput_txn_per_cycle
b3split,60pct_Q8ENC_40pct_other,Q8_ENC,73464,8.0076,0.124881,13,165.581,168,198,207,218,0.045871
b3split,60pct_Q8ENC_40pct_other,Q8_DEC,57247,8.0076,0.124881,82,159.843,161,193,204,222,0.035745
b3split,60pct_Q8ENC_40pct_other,Q4_ENC,15897,8.0076,0.124881,47,153.091,154,184,191,207,0.009926
b3split,60pct_Q8ENC_40pct_other,Q4_DEC,53392,8.0076,0.124881,10,159.909,161,193,204,231,0.033338
b3split,100pct_Q8_ENC,Q8_ENC,200000,21.7082,0.046066,24,194.376,199,208,211,221,0.046066
b3split,100pct_Q8_DEC,Q8_DEC,200000,2.0379,0.490698,9,36.809,36,65,74,95,0.490698
b3split,100pct_Q4_ENC,Q4_ENC,200000,18.7082,0.053452,21,167.367,172,181,184,193,0.053452
b3split,100pct_Q4_DEC,Q4_DEC,200000,2.0358,0.491195,9,36.744,36,65,73,101,0.491195
b3split,alt_Q8ENC_Q4DEC,Q8_ENC,100000,10.8533,0.092137,24,195.349,194,207,209,218,0.046069
b3split,alt_Q8ENC_Q4DEC,Q4_DEC,100000,10.8533,0.092137,24,196.357,195,208,211,221,0.046069
b3split,alt_Q8ENC_Q8DEC,Q8_ENC,100000,10.8533,0.092138,25,195.354,194,207,209,219,0.046069
b3split,alt_Q8ENC_Q8DEC,Q8_DEC,100000,10.8533,0.092138,26,196.357,195,208,211,224,0.046069
b3split,alt_Q4ENC_Q4DEC,Q4_ENC,100000,9.3533,0.106914,24,168.372,167,180,182,193,0.053457
b3split,alt_Q4ENC_Q4DEC,Q4_DEC,100000,9.3533,0.106914,27,169.375,168,181,184,193,0.053457
b3split,adversarial_HOL_pattern,Q8_ENC,33334,3.6179,0.276404,24,61.409,64,67,70,78,0.046068
b3split,adversarial_HOL_pattern,Q8_DEC,100000,3.6179,0.276404,24,54.123,53,67,70,80,0.138202
b3split,adversarial_HOL_pattern,Q4_DEC,66666,3.6179,0.276404,24,55.091,54,67,70,79,0.092134
