profile,q8_enc_density,stall_fifo_empty_cyc,stall_head_busy_q8enc_cyc,stall_head_busy_q4enc_cyc,stall_head_shadow_full_cyc,issued_cyc,total_stall_cyc,frac_stall_from_busy_encode_head,mean_bypassable_younger_behind_blocked_head,max_bypassable_younger_observed,mean_distance_to_first_executable_younger,frac_blocked_cycles_first_executable_within_lookahead2,frac_blocked_cycles_first_executable_within_lookahead4,blocked_head_mode_Q8ENC,blocked_head_mode_Q8DEC,blocked_head_mode_Q4ENC,blocked_head_mode_Q4DEC,bypassable_mode_Q8ENC,bypassable_mode_Q8DEC,bypassable_mode_Q4ENC,bypassable_mode_Q4DEC,mean_latency_Q8_ENC,mean_latency_Q8_DEC,mean_latency_Q4_ENC,mean_latency_Q4_DEC,accepted,retired
10pct_Q8ENC,0.1,0,35727,131234,159128,71911,326089,0.512,4.432,15,3.45,0.5788,0.7424,35727,79629,131234,79499,236246,434250,339974,434665,110.413,92.554,98.695,92.585,72305,72287
20pct_Q8ENC,0.2,0,107459,91497,142686,56358,341642,0.5824,5.075,15,2.759,0.6441,0.8244,107459,70846,91497,71840,238020,467025,564147,464617,138.641,116.642,121.604,116.36,56671,56652
25pct_Q8ENC,0.25,0,143719,74419,129327,50535,347465,0.6278,5.26,15,2.685,0.657,0.8343,143719,64219,74419,65108,204721,490194,631321,501262,152.104,129.115,133.864,129.505,50783,50766
40pct_Q8ENC,0.4,0,238562,39391,83060,36987,361013,0.7699,5.353,15,2.723,0.649,0.8392,238562,41408,39391,41652,106477,560252,707986,557754,200.761,173.691,176.454,172.875,37177,37160
