profile,q8_enc_density,out_ready_prob,cyc_next_seq_retires,frac_next_seq_retires,cyc_next_seq_backpressure,frac_next_seq_backpressure,cyc_younger_decode_blocked_by_encode,frac_younger_decode_blocked_by_encode,cyc_younger_encode_blocked_by_other,frac_younger_encode_blocked_by_other,cyc_completion_slot_unavailable,frac_completion_slot_unavailable,cyc_ingress_blocked_completion_capacity,frac_ingress_blocked_completion_capacity,cyc_no_completed_result_engine_busy,frac_no_completed_result_engine_busy,cyc_no_completed_result_idle,frac_no_completed_result_idle,cyc_tag_seq_wrap,frac_tag_seq_wrap,cyc_reset_recovery,frac_reset_recovery,cyc_other,frac_other,accepted,retired,wrap_events,mean_latency_Q8_ENC,mean_latency_Q8_DEC,mean_latency_Q4_ENC,mean_latency_Q4_DEC
10pct_Q8ENC,0.1,1.0,135591,0.3407,0,0.0,170406,0.4282,988,0.0025,0,0.0,69721,0.1752,21294,0.0535,0,0.0,0,0.0,0,0.0,0,0.0,136325,135591,532,113.304,31.717,102.192,31.804
20pct_Q8ENC,0.2,1.0,108309,0.2721,0,0.0,216566,0.5441,2019,0.0051,0,0.0,53844,0.1353,17262,0.0434,0,0.0,0,0.0,0,0.0,0,0.0,108903,108309,425,131.604,40.432,113.273,40.402
25pct_Q8ENC,0.25,1.0,100671,0.2529,0,0.0,228325,0.5737,2494,0.0063,0,0.0,49664,0.1248,16846,0.0423,0,0.0,0,0.0,0,0.0,0,0.0,101242,100671,395,140.005,43.211,119.229,43.283
40pct_Q8ENC,0.4,1.0,88339,0.222,0,0.0,245550,0.617,2293,0.0058,0,0.0,45305,0.1138,16513,0.0415,0,0.0,0,0.0,0,0.0,0,0.0,88794,88339,346,164.979,46.242,137.534,46.222
25pct_Q8ENC_backpressured,0.25,0.7,100677,0.253,0,0.0,228400,0.5739,2266,0.0057,0,0.0,49964,0.1255,16693,0.0419,0,0.0,0,0.0,0,0.0,0,0.0,101207,100677,395,140.251,43.317,119.241,43.263
25pct_Q8ENC_burst_backpressure,0.25,1.0,81906,0.2058,38,0.0001,259995,0.6533,1795,0.0045,0,0.0,40559,0.1019,13707,0.0344,0,0.0,0,0.0,0,0.0,0,0.0,82454,81906,322,139.797,42.967,118.975,43.042
