variant,profile,mode,count,cycles_per_txn,accepted_per_cycle,min,mean,p50,p95,p99,max,throughput_txn_per_cycle
baseline,uniform_random_modes,Q8_ENC,49950,6.5073,0.153673,12,110.380,109,170,195,257,0.038380
baseline,uniform_random_modes,Q8_DEC,49743,6.5073,0.153673,21,110.386,109,170,195,270,0.038221
baseline,uniform_random_modes,Q4_ENC,50230,6.5073,0.153673,26,122.622,121,183,209,277,0.038595
baseline,uniform_random_modes,Q4_DEC,50077,6.5073,0.153673,10,110.240,109,170,195,249,0.038477
baseline,realistic_reconstructed_mix_SIMULATED,Q8_ENC,40050,3.3746,0.296328,9,60.786,56,105,128,185,0.059340
baseline,realistic_reconstructed_mix_SIMULATED,Q8_DEC,79997,3.3746,0.296328,9,60.974,56,105,128,188,0.118527
baseline,realistic_reconstructed_mix_SIMULATED,Q4_ENC,20176,3.3746,0.296328,13,69.748,65,117,141,195,0.029894
baseline,realistic_reconstructed_mix_SIMULATED,Q4_DEC,59777,3.3746,0.296328,9,60.829,56,105,129,178,0.088568
baseline,10pct_Q8ENC_90pct_other,Q8_ENC,19815,7.4683,0.133900,28,125.478,125,187,208,264,0.013266
baseline,10pct_Q8ENC_90pct_other,Q8_DEC,60152,7.4683,0.133900,22,125.712,125,186,210,264,0.040272
baseline,10pct_Q8ENC_90pct_other,Q4_ENC,59865,7.4683,0.133900,19,138.076,138,198,220,279,0.040080
baseline,10pct_Q8ENC_90pct_other,Q4_DEC,60168,7.4683,0.133900,24,125.355,125,185,209,278,0.040282
baseline,20pct_Q8ENC_80pct_other,Q8_ENC,40112,6.8973,0.144985,22,116.583,116,176,201,252,0.029078
baseline,20pct_Q8ENC_80pct_other,Q8_DEC,53939,6.8973,0.144985,9,116.732,116,177,200,268,0.039102
baseline,20pct_Q8ENC_80pct_other,Q4_ENC,54006,6.8973,0.144985,17,128.696,128,189,213,277,0.039150
baseline,20pct_Q8ENC_80pct_other,Q4_DEC,51943,6.8973,0.144985,10,116.519,116,176,201,267,0.037655
baseline,25pct_Q8ENC_75pct_other,Q8_ENC,49980,6.4956,0.153951,12,110.196,109,168,194,246,0.038472
baseline,25pct_Q8ENC_75pct_other,Q8_DEC,49602,6.4956,0.153951,12,110.199,109,169,194,266,0.038181
baseline,25pct_Q8ENC_75pct_other,Q4_ENC,50138,6.4956,0.153951,17,122.169,121,182,206,265,0.038594
baseline,25pct_Q8ENC_75pct_other,Q4_DEC,50280,6.4956,0.153951,14,110.309,110,169,194,248,0.038703
baseline,40pct_Q8ENC_60pct_other,Q8_ENC,79946,5.4510,0.183454,9,93.639,92,150,175,234,0.073332
baseline,40pct_Q8ENC_60pct_other,Q8_DEC,40044,5.4510,0.183454,9,93.420,92,150,175,231,0.036731
baseline,40pct_Q8ENC_60pct_other,Q4_ENC,39878,5.4510,0.183454,16,105.188,104,163,188,245,0.036579
baseline,40pct_Q8ENC_60pct_other,Q4_DEC,40132,5.4510,0.183454,9,93.856,92,150,175,229,0.036812
baseline,60pct_Q8ENC_40pct_other,Q8_ENC,119986,3.9841,0.250999,9,70.535,67,120,144,213,0.150582
baseline,60pct_Q8ENC_40pct_other,Q8_DEC,28061,3.9841,0.250999,9,70.546,67,120,142,195,0.035216
baseline,60pct_Q8ENC_40pct_other,Q4_ENC,25989,3.9841,0.250999,13,80.487,78,134,157,207,0.032616
baseline,60pct_Q8ENC_40pct_other,Q4_DEC,25964,3.9841,0.250999,9,70.752,67,120,143,186,0.032585
baseline,100pct_Q8_ENC,Q8_ENC,200000,2.0219,0.494573,9,52.038,52,93,104,123,0.494573
baseline,100pct_Q8_DEC,Q8_DEC,200000,2.0216,0.494656,9,51.380,50,93,104,128,0.494656
baseline,100pct_Q4_ENC,Q4_ENC,200000,17.7082,0.056471,20,300.023,296,322,324,337,0.056471
baseline,100pct_Q4_DEC,Q4_DEC,200000,2.0242,0.494035,9,51.465,51,94,105,133,0.494035
baseline,alt_Q8ENC_Q4DEC,Q8_ENC,100000,2.0052,0.498700,9,94.228,94,111,119,146,0.249350
baseline,alt_Q8ENC_Q4DEC,Q4_DEC,100000,2.0052,0.498700,9,94.228,94,111,119,145,0.249350
baseline,alt_Q8ENC_Q8DEC,Q8_ENC,100000,1.9987,0.500318,9,93.921,93,111,119,142,0.250159
baseline,alt_Q8ENC_Q8DEC,Q8_DEC,100000,1.9987,0.500318,9,93.921,93,111,119,142,0.250159
baseline,alt_Q4ENC_Q4DEC,Q4_ENC,100000,12.8533,0.077801,20,223.356,222,235,237,245,0.038900
baseline,alt_Q4ENC_Q4DEC,Q4_DEC,100000,12.8533,0.077801,27,213.646,211,225,227,235,0.038900
baseline,adversarial_HOL_pattern,Q8_ENC,33334,2.0007,0.499824,10,94.013,93,111,119,154,0.083306
baseline,adversarial_HOL_pattern,Q8_DEC,100000,2.0007,0.499824,10,94.014,93,111,119,157,0.249912
baseline,adversarial_HOL_pattern,Q4_DEC,66666,2.0007,0.499824,10,94.014,93,111,119,148,0.166606
b1,uniform_random_modes,Q8_ENC,49750,11.8459,0.084418,15,210.529,212,270,290,335,0.020999
b1,uniform_random_modes,Q8_DEC,50000,11.8459,0.084418,12,195.166,196,255,277,324,0.021104
